topic,grade_level,subject,question_type,question_text,correct_answer,options,difficulty,source,metadata_json
"Unit 1: Back to school","4º Primaria","Inglés","voice","How do you say 'estuche' in English?","Pencil case","","media","SANTILLANA","{""explicacionDiamante"": ""¡Casi! Estuche se dice 'pencil case'. 'Pencil' es lápiz y 'case' es caja."", ""rule_id"": ""U1_VOCAB_SCHOOL""}"
"Unit 1: Back to school","4º Primaria","Inglés","classification","Classify these school items","{""Pencil"": ""Stationery"", ""Ruler"": ""Stationery"", ""Library"": ""Places"", ""Gym"": ""Places""}","Pencil | Ruler | Library | Gym","media","SANTILLANA","{""buckets"": [""Stationery"", ""Places""], ""explicacionDiamante"": ""Separa los objetos de papelería de los lugares del colegio.""}"
"Unit 1: Back to school","4º Primaria","Inglés","fill_blanks","I ___ (have) a blue school bag.","have","","fácil","SANTILLANA","{""explicacionDiamante"": ""Con 'I, You, We, They' usamos 'have'. Con 'He, She, It' usamos 'has'."", ""rule_id"": ""RULES_ENG_G4_V_HAVE_GOT""}"
"Unit 1: Back to school","4º Primaria","Inglés","word_order","is / My / favourite / English / subject","My favourite subject is English","","media","SANTILLANA","{""explicacionDiamante"": ""Recuerda el orden: Sujeto + Verbo + Predicado."", ""rule_id"": ""U1_SYNTAX_ORDER""}"
"Unit 1: Back to school","4º Primaria","Inglés","fill_blanks","She ___ (be) in the classroom.","is","","fácil","SANTILLANA","{""explicacionDiamante"": ""Recuerda el verbo To Be: I am, You are, He/She/It is."", ""rule_id"": ""RULES_ENG_G4_V_TOBE""}"
"Unit 1: Back to school","4º Primaria","Inglés","word_order","have / a / I / got / ruler / red","I have got a red ruler","","media","SANTILLANA","{""explicacionDiamante"": ""Los adjetivos de color van antes del objeto: 'red ruler'."", ""rule_id"": ""U1_SYNTAX_ADJ""}"
"Unit 1: Back to school","4º Primaria","Inglés","word_order","got / she / Has / a / pencil / case / ?","Has she got a pencil case?","","dificil","SANTILLANA","{""explicacionDiamante"": ""En preguntas con 'have got', el verbo va al principio: Has + Sujeto + got...?"", ""rule_id"": ""U1_SYNTAX_QUES""}"
"Unit 1: Back to school","4º Primaria","Inglés","word_order","fav / Science / is / My / subject","My favourite subject is Science","","media","SANTILLANA","{""explicacionDiamante"": ""Sujeto (My favourite subject) + Verbo (is) + Complemento (Science)."", ""rule_id"": ""U1_SYNTAX_ORDER""}"
"Unit 1: Back to school","4º Primaria","Inglés","word_order","library / is / The / gym / the / near","The library is near the gym","","media","SANTILLANA","{""explicacionDiamante"": ""Usamos 'near' para indicar cercanía entre dos lugares."", ""rule_id"": ""U1_SYNTAX_PLACE""}"
"Unit 1: Back to school","4º Primaria","Inglés","word_order","got / We / have / English / Mondays / on","We have got English on Mondays","","media","SANTILLANA","{""explicacionDiamante"": ""Los días de la semana siempre van con la preposición 'on'."", ""rule_id"": ""U1_SYNTAX_DAYS""}"
"Unit 1: Back to school","4º Primaria","Inglés","word_order","not / He / got / has / notebook / a","He has not got a notebook","","media","SANTILLANA","{""explicacionDiamante"": ""En la negación, colocamos 'not' después de 'has': has not got."", ""rule_id"": ""U1_SYNTAX_NEG""}"
"Unit 1: Back to school","4º Primaria","Inglés","word_order","your / favourite / What / is / subject / ?","What is your favourite subject?","","media","SANTILLANA","{""explicacionDiamante"": ""La palabra interrogativa 'What' siempre va al principio de la pregunta."", ""rule_id"": ""U1_SYNTAX_WH""}"
"Unit 1: Back to school","4º Primaria","Inglés","word_order","is / Where / canteen / the / ?","Where is the canteen?","","media","SANTILLANA","{""explicacionDiamante"": ""Usamos 'Where' para preguntar por lugares. Where + is + el lugar."", ""rule_id"": ""U1_SYNTAX_WHERE""}"
"Unit 1: Back to school","4º Primaria","Inglés","word_order","like / Art / I / Music / and","I like Art and Music","","facil","SANTILLANA","{""explicacionDiamante"": ""Usamos 'and' para unir dos cosas que nos gustan."", ""rule_id"": ""U1_SYNTAX_AND""}"
"Unit 1: Back to school","4º Primaria","Inglés","word_order","There / a / is / on / rubber / table / the","There is a rubber on the table","","media","SANTILLANA","{""explicacionDiamante"": ""'There is' se usa para decir que hay una cosa en singular."", ""rule_id"": ""U1_SYNTAX_THERE""}"
"Unit 1: Back to school","4º Primaria","Inglés","word_order","blue / My / school bag / is / green / and","My school bag is blue and green","","media","SANTILLANA","{""explicacionDiamante"": ""Puedes unir dos colores con 'and' al final de la frase."", ""rule_id"": ""U1_SYNTAX_COLORS""}"
"Unit 1: Back to school","4º Primaria","Inglés","word_order","They / not / in / classroom / are / the","They are not in the classroom","","media","SANTILLANA","{""explicacionDiamante"": ""Con 'They' usamos la forma 'are'. La negación es 'are not' o 'aren't'."", ""rule_id"": ""U1_SYNTAX_TOBE_NEG""}"
"Unit 1: Back to school","4º Primaria","Inglés","word_order","it / Glue / is / ?","Is it glue?","","facil","SANTILLANA","{""explicacionDiamante"": ""Para preguntar con 'it', invertimos el orden: Is it...?"", ""rule_id"": ""U1_SYNTAX_IT""}"
"Unit 1: Back to school","4º Primaria","Inglés","word_order","the / hall / classroom / Is / near / ?","Is the hall near the classroom?","","media","SANTILLANA","{""explicacionDiamante"": ""Invertimos el orden para preguntar: Is + Sujeto + Complemento?"", ""rule_id"": ""U1_SYNTAX_QUES_PLACE""}"
"Unit 1: Back to school","4º Primaria","Inglés","classification","Classify numbers and colors","{""Blue"": ""Colors"", ""Green"": ""Colors"", ""Ten"": ""Numbers"", ""Six"": ""Numbers""}","Blue | Green | Ten | Six","media","SANTILLANA","{""buckets"": [""Colors"", ""Numbers""], ""explicacionDiamante"": ""Diferencia los colores de los números.""}"
"Unit 1: Back to school","4º Primaria","Inglés","classification","Classify school objects and places","{""Pencil"": ""Stationery"", ""Library"": ""Places"", ""Rubber"": ""Stationery"", ""Gym"": ""Places""}","Pencil | Library | Rubber | Gym","media","SANTILLANA","{""buckets"": [""Stationery"", ""Places""], ""explicacionDiamante"": ""Separa los objetos de uso diario de las salas del colegio.""}"
"Unit 1: Back to school","4º Primaria","Inglés","classification","Classify subjects by activity","{""Maths"": ""Numbers"", ""Art"": ""Drawing"", ""Science"": ""Nature"", ""Music"": ""Singing""}","Maths | Art | Science | Music","media","SANTILLANA","{""buckets"": [""Numbers"", ""Drawing"", ""Nature"", ""Singing""], ""explicacionDiamante"": ""Relaciona cada asignatura con lo que se hace en ella.""}"
"Unit 1: Back to school","4º Primaria","Inglés","classification","Classify actions and objects","{""Read"": ""Action"", ""Book"": ""Object"", ""Write"": ""Action"", ""Pen"": ""Object""}","Read | Book | Write | Pen","media","SANTILLANA","{""buckets"": [""Action"", ""Object""], ""explicacionDiamante"": ""Diferencia entre lo que hacemos (acciones) y lo que usamos (objetos).""}"
"Unit 1: Back to school","4º Primaria","Inglés","classification","Classify school days and weekend","{""Monday"": ""Weekdays"", ""Saturday"": ""Weekend"", ""Friday"": ""Weekdays"", ""Sunday"": ""Weekend""}","Monday | Saturday | Friday | Sunday","media","SANTILLANA","{""buckets"": [""Weekdays"", ""Weekend""], ""explicacionDiamante"": ""Separa los días de clase de los días de descanso.""}"
"Unit 1: Back to school","4º Primaria","Inglés","classification","Classify singular and plural","{""Book"": ""Singular"", ""Rulers"": ""Plural"", ""Pencil"": ""Singular"", ""Pens"": ""Plural""}","Book | Rulers | Pencil | Pens","media","SANTILLANA","{""buckets"": [""Singular"", ""Plural""], ""explicacionDiamante"": ""Recuerda que el plural suele terminar en 's'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","classification","Classify feelings","{""Happy"": ""Positive"", ""Sad"": ""Negative"", ""Excited"": ""Positive"", ""Angry"": ""Negative""}","Happy | Sad | Excited | Angry","media","SANTILLANA","{""buckets"": [""Positive"", ""Negative""], ""explicacionDiamante"": ""Identifica si la emoción es positiva o negativa.""}"
"Unit 1: Back to school","4º Primaria","Inglés","classification","Classify school staff and students","{""Teacher"": ""Staff"", ""Student"": ""Learner"", ""Principal"": ""Staff"", ""Pupil"": ""Learner""}","Teacher | Student | Principal | Pupil","media","SANTILLANA","{""buckets"": [""Staff"", ""Learner""], ""explicacionDiamante"": ""Diferencia entre los que enseñan y los que aprenden.""}"
"Unit 1: Back to school","4º Primaria","Inglés","classification","Classify furniture and technology","{""Desk"": ""Furniture"", ""Computer"": ""Technology"", ""Chair"": ""Furniture"", ""Tablet"": ""Technology""}","Desk | Computer | Chair | Tablet","media","SANTILLANA","{""buckets"": [""Furniture"", ""Technology""], ""explicacionDiamante"": ""Separa los muebles de los dispositivos electrónicos.""}"
"Unit 1: Back to school","4º Primaria","Inglés","classification","Classify long and short words","{""Mathematics"": ""Long"", ""Art"": ""Short"", ""Dictionary"": ""Long"", ""Pen"": ""Short""}","Mathematics | Art | Dictionary | Pen","media","SANTILLANA","{""buckets"": [""Long"", ""Short""], ""explicacionDiamante"": ""Cuenta las letras para ver si la palabra es larga o corta.""}"
"Unit 1: Back to school","4º Primaria","Inglés","connector","Match school items to Spanish","{""Pencil case"": ""Estuche"", ""Sharpener"": ""Sacapuntas"", ""Glue"": ""Pegamento""}","","media","SANTILLANA","{""pairs"": {""Pencil case"": ""Estuche"", ""Sharpener"": ""Sacapuntas"", ""Glue"": ""Pegamento""}, ""explicacionDiamante"": ""Une cada palabra con su traducción correcta.""}"
"Unit 1: Back to school","4º Primaria","Inglés","connector","Match subjects to their focus","{""Maths"": ""Numbers"", ""Art"": ""Painting"", ""English"": ""Hello""}","","media","SANTILLANA","{""pairs"": {""Maths"": ""Numbers"", ""Art"": ""Painting"", ""English"": ""Hello""}, ""explicacionDiamante"": ""Relaciona la asignatura con su tema principal.""}"
